keyword,count
Chinese learners of Korean language,1
Chinese people,1
Chinese speaking people,1
Chinese student of Korean translation and interpreting,1
Chinese study book,1
Chinese study materia,1
Chinese teaching method,1
Chinese translation,1
Chinese university students of Korean descent,1
Chinese version of Korean language textbooks,1
Chinese vocabulary learning,1
Chinese vocabulary usage,1
Chinese words,1
Chinese writing,1
Chinese- Korean translation textbook,1
Chinese-Korean Translation,1
Chinese-Korean cognate,1
Chugumi (추구미),1
Chun Yun-Hee,1
Class activities,1
Class using ChatGPT,1
Classical Chinese,1
Classical Chinese curriculum,1
Classical Chinese education,1
Classical Chinese style with Hangeul annotation[한글懸吐漢文體],1
Classical Chinese style with interpretedgugyeol[口訣懸吐漢文體],1
Classical Philology,1
Classification,1
Classificatory glossaries,1
Classroom Vocabulary,1
Classroom language,1
Classroom teaching,1
Co-Using of Hangul & Hanja,1
Co-occurrence,1
Co-occurring word,1
Co-participant,1
Cognition complexity,1
Cognitive Competence,1
Cognitive Factors,1
Cognitive Linguistics,1
Cognitive Semantics,1
Cognitive Skills,1
Cognitive difficulty,1
Cohesive Device,1
College Students,1
Collocaition,1
Collocaition educational content configuration,1
Collocative Nouns,1
Colloquial Translation,1
Colonized media,1
Combined Particles,1
Communication Skill,1
Communication skills,1
Communicative Function,1
Communicative Function of Proverbs,1
Communicative Language Teaching,1
Comparative Analysis,1
Comparative Literature,1
Comparative analysis,1
Comparative-historical linguistics,1
Comparison analysis,1
Comparison by Native Language,1
Compilation of Dictionary,1
Complements of teaching method,1
Complexities,1
Complexity Analysis,1
Composite Units),1
Composition Method,1
Composition of conversations,1
Composition of the Unit,1
Composition of units,1
Compound Word,1
Compound Words,1
Compound word,1
Compoundword,1
Comprehension globale,1
Conceptual Metaphor,1
Conceptuali- zation,1
Conceptualization of message,1
Conduct aspect.,1
Confucianclassics annotation style[經書諺解體],1
Constitution Day,1
Constitution categories of textbook,1
Construct,1
Constructions Corresponding to Particles,1
Content Development(콘텐츠 개발),1
Content-Based Instruction,1
Content-Language Integrated Learning,1
Contents,1
Context in Chinese letters,1
Context in European letters,1
Contextual Factors,1
Continued aspect,1
Contract studies,1
Contrastive Linguistics,1
Contrastive linguistics,1
ContrastiveStudy of Compound Words,1
Control group,1
Convergence Characteristics,1
Conversation,1
Core,1
Corpus Analysis,1
Corpus Linguistics,1
Corpus linguistics,1
Correction,1
Correlation Coefficient,1
Correlational analysis,1
Corresponding meaning,1
Courses with ideological-political elements,1
Critical reading,1
Cross Tabulation,1
Cultural Competence,1
Cultural Curriculum,1
Cultural Experience(문화 체험),1
Cultural Items,1
Cultural Words,1
Cultural cognition,1
Cultural items,1
Cultural vocabulary,1
Culture Content Analysis,1
Culture Education,1
Culture Education Items,1
Culture Education Material,1
Culture comprehension,1
Culture difference,1
Current Situation,1
Current status and future issues,1
